id;data_agendada;status_agendamento;criado_em;atualizado_em
6f2f348c-4cd6-4bb3-9c9a-6ca8cf44408c;2022-10-13T00:57:46;CONCLUIDO;2022-10-13T13:18:34;2022-10-12T20:06:18
91ee84ea-91b0-451b-a885-4611a0244252;2022-10-13T11:25:17;CONCLUIDO;2022-10-13T12:45:37;2022-10-12T18:14:07
4b1c74a7-0234-41fa-b5d9-3b7d1b8dffdb;2022-10-13T13:56:39;CONCLUIDO;2022-10-13T15:29:34;2022-10-12T20:30:37
07ac03b5-0406-4cea-b50c-eb729d280463;2022-10-13T17:02:34;AGENDADO;2022-10-13T00:12:43;2022-10-13T13:45:11
a7a24d92-212c-4d06-8e12-e680173c8cad;2022-10-13T17:03:18;AGENDADO;2022-10-13T14:57:14;2022-10-12T21:16:01
94be912b-1e13-45ad-b5ed-05ad998f9a91;2022-10-13T04:41:18;CONCLUIDO;2022-10-12T23:04:36;2022-10-13T03:25:05
9d514886-3bff-4e83-b577-70b222259587;2022-10-13T15:41:58;AGENDADO;2022-10-13T07:54:54;2022-10-13T12:36:57
0bfe7f06-e8d6-4374-90b5-59d0477ba8cc;2022-10-12T19:33:59;CONCLUIDO;2022-10-13T04:44:26;2022-10-13T16:23:51
a702f5cb-b0cf-4d8d-a760-9f707b571d1b;2022-10-13T04:13:22;AGENDADO;2022-10-13T14:44:12;2022-10-13T17:10:34
380525ac-ba13-4f2e-8626-a4f8b4c017ab;2022-10-13T15:58:03;CONCLUIDO;2022-10-13T08:02:11;2022-10-13T05:19:38
