id;codigo;nome;descricao;status_drone;criado_em;atualizado_em
a36641b6-3634-433b-b7c0-23869de16343;JBOD Saúde Algodão;Infrastructure circuit transmitter;Luvas Facilitator intangible;AGENDADO;2022-10-12T22:30:57;2022-10-12T22:46:47
1f32cbc0-fd1f-4acd-8f23-bf1b35aeb6e5;limão scalable;Eletrônicos;Optimized;AGENDADO;2022-10-13T02:19:40;2022-10-13T14:44:34
6c57fde1-1e97-4d10-8113-61ab17143001;Paradigm backing;dynamic mão;SAS Tocantins payment;AGENDADO;2022-10-13T06:38:35;2022-10-13T03:45:38
4314d74f-8058-4650-9412-4b96cb4b61e8;toolset;bandwidth protocol;PCI transmit;EXECUTANTO_AGENDAMENTO;2022-10-12T19:47:56;2022-10-13T03:22:18
81c88f75-943e-4c06-b2be-aee060b0bebc;copying seize;cross-platform deposit;navigating online bypassing;LIBERADO;2022-10-13T17:49:25;2022-10-13T10:15:41
4c24570c-712a-4c2c-800b-954e0d0cb253;Computador leverage Rodovia;Regional;Guyana;EXECUTANTO_AGENDAMENTO;2022-10-13T14:49:19;2022-10-13T12:43:35
6c0294db-05c9-4df4-a51d-3a3bf1a5986e;facilitate Buckinghamshire cohesive;Alagoas Infrastructure;open-source Rodovia;AGENDADO;2022-10-13T14:08:13;2022-10-12T22:31:45
70d0cec0-19af-401f-aeee-4baf0dc4e464;mão Refinado;bronze;Incrível Marginal;LIBERADO;2022-10-13T18:20:24;2022-10-13T04:16:42
2567c2c2-0ab3-4e45-a28f-47f7fa2d7158;Dinar Granito;Turismo Jóias;Salada application copy;LIBERADO;2022-10-13T19:33:49;2022-10-12T21:36:59
1fc9d9d0-3ece-41ac-b49a-cdf025cf0562;Lustroso Toalhas Web;Mercearia models;facilitate;EXECUTANTO_AGENDAMENTO;2022-10-13T09:11:25;2022-10-13T18:59:53
