id;codigo;nota_fiscal;status_pedido;criado_em;atualizado_em
7bc4229c-a6d0-4c58-8dd5-cdb5bd8aebde;36323;Salsicha asymmetric;ENTREGUE;2022-10-13T14:58:32;2022-10-13T11:39:56
5a508a39-bfc4-4296-98d6-ab95f659d902;87828;Impressionante Senior;ENTREGUE;2022-10-13T03:16:19;2022-10-13T06:30:04
733749f2-98b0-4693-8f39-3090aabd66c4;43538;mobile Pre-emptive Central;COLETADO;2022-10-13T10:32:40;2022-10-13T06:37:59
8d303cdc-48e6-4b13-a65f-62e8541d1a06;64317;Technician Sem;ENTREGUE;2022-10-13T04:03:49;2022-10-13T00:14:19
796193de-6852-4a92-a0ef-3e9155b87ccd;81354;syndicate Officer wireless;TRANSITO_RETORNO;2022-10-13T11:15:38;2022-10-13T16:08:18
1529754d-4a82-4f9b-b541-d607ea35a11a;29084;Bedfordshire;COLETADO;2022-10-13T09:31:15;2022-10-13T05:43:44
f297b00b-fd48-45e8-b20d-31269c4fe3e0;58183;âmbar Dalasi optical;TRANSITO_COLETA;2022-10-13T13:15:38;2022-10-13T08:53:52
a5388c03-5046-4a2d-aaa1-40fe41e45f45;96623;lima transmit channels;TRANSITO_RETORNO;2022-10-13T05:41:42;2022-10-13T03:22:25
e9528863-6dbe-4e4e-8476-f6b2308a343c;58078;Plástico;CONCLUIDO;2022-10-13T13:08:49;2022-10-13T03:21:39
9cdc2a51-b20e-49c5-92e5-506de5f1cc71;54080;incentivize navigate;ENTREGUE;2022-10-12T20:30:33;2022-10-13T16:57:32
